Country,Population,Region,"Estimated prevalence of modern slavery per 1,000 population",Estimated number of people in modern slavery,Slavery_Percentage
Afghanistan,38928000.0,Asia and the Pacific,13.0,505000.0,1.297266748869708
Albania,2878000.0,Europe and Central Asia,11.8,34000.0,1.18137595552467
Algeria,43851000.0,Africa,1.9,84000.0,0.1915577751932681
Angola,32866000.0,Africa,4.1,136000.0,0.41380149698776847
Antigua and Barbuda,98000.0,Americas,,0.0,0.0
Argentina,45196000.0,Americas,4.2,189000.0,0.4181785998760952
Armenia,2963000.0,Europe and Central Asia,8.9,26000.0,0.8774890313871078
Australia,25500000.0,Asia and the Pacific,1.6,41000.0,0.1607843137254902
Austria,9006000.0,Europe and Central Asia,1.9,17000.0,0.18876304685765047
Azerbaijan,10139000.0,Europe and Central Asia,10.6,107000.0,1.0553309004832823
Bahamas,393000.0,Americas,,0.0,0.0
Bahrain,1702000.0,Arab States,6.7,11000.0,0.6462984723854289
Bangladesh,164689000.0,Asia and the Pacific,7.1,1162000.0,0.7055723211629192
Barbados,287000.0,Americas,,0.0,0.0
Belarus,9449000.0,Europe and Central Asia,11.3,107000.0,1.1323949624298868
Belgium,11590000.0,Europe and Central Asia,1.0,11000.0,0.09490940465918896
Belize,398000.0,Americas,,0.0,0.0
Benin,12123000.0,Africa,3.0,37000.0,0.3052049822651159
Bolivia,11673000.0,Americas,7.2,83000.0,0.7110425768868328
Bosnia and Herzegovina,3281000.0,Europe and Central Asia,10.1,33000.0,1.005790917403231
Botswana,2352000.0,Africa,1.8,4000.0,0.17006802721088435
Brazil,212559000.0,Americas,5.0,1053000.0,0.49539186766968224
Brunei Darussalam,437000.0,Asia and the Pacific,,0.0,0.0
Bulgaria,6948000.0,Europe and Central Asia,8.5,59000.0,0.8491652274035694
Burkina Faso,20903000.0,Africa,3.7,77000.0,0.3683681768167249
Burundi,11891000.0,Africa,7.5,89000.0,0.7484652258010259
Cambodia,16719000.0,Asia and the Pacific,5.0,83000.0,0.4964411747114062
Cameroon,26546000.0,Africa,5.8,155000.0,0.5838921118059218
Canada,37742000.0,Americas,1.8,69000.0,0.1828202003073499
Cape Verde,,Africa,,0.0,
Central African Republic,4830000.0,Africa,5.2,25000.0,0.5175983436853002
Chad,16426000.0,Africa,5.9,97000.0,0.5905272129550713
Chile,19116000.0,Americas,3.2,61000.0,0.3191044151496129
