Country,"GDP (nominal, 2023)",GDP Growth
United States,27720700000000,2.89
China,17794800000000,5.25
Germany,4525700000000,-0.27
Japan,4204490000000,1.68
India,3567550000000,8.15
United Kingdom,3380850000000,0.34
France,3051830000000,0.94
Italy,2300940000000,0.7
Brazil,2173670000000,2.91
Canada,2142470000000,1.25
Russia,2021420000000,3.6
Mexico,1789110000000,3.2
Australia,1728060000000,3.44
South Korea,1712790000000,1.36
Spain,1620090000000,2.68
Indonesia,1371170000000,5.05
Netherlands,1154360000000,0.07
Turkey,1118250000000,5.11
Saudi Arabia,1067580000000,-0.76
Switzerland,884940000000,0.72
Poland,809201000000,0.14
Argentina,646075000000,-1.61
Belgium,644783000000,1.25
Sweden,584960000000,-0.31
Ireland,551395000000,-5.53
Thailand,514969000000,1.89
United Arab Emirates,514130000000,3.62
Israel,513611000000,2.42
Austria,511685000000,-0.95
Singapore,501428000000,1.07
Norway,485311000000,0.48
Bangladesh,437415000000,5.78
Philippines,437146000000,5.55
Vietnam,429717000000,5.05
Denmark,407092000000,2.5
Iran,404626000000,5.04
Malaysia,399705000000,3.56
Egypt,396002000000,3.76
Hong Kong,380812000000,3.28
South Africa,380699000000,0.7
Nigeria,363846000000,2.86
Colombia,363494000000,0.61
Romania,350776000000,2.4
Czech Republic (Czechia),343208000000,-0.09
Pakistan,337912000000,-0.04
Chile,335533000000,0.22
Finland,295532000000,-1.16
Portugal,289114000000,2.53
Peru,267603000000,-0.55
Kazakhstan,262642000000,5.1
New Zealand,252176000000,0.73
Iraq,250843000000,-2.94
Algeria,247626000000,4.1
Greece,243498000000,2.33
Qatar,213003000000,1.19
Hungary,212389000000,-0.91
Ukraine,178757000000,5.32
Kuwait,163705000000,-3.64
Ethiopia,163698000000,6.5
Morocco,144417000000,3.4
Slovakia,132908000000,1.38
Dominican Republic,121444000000,2.36
Ecuador,118845000000,2.36
Sudan,109266000000,-20.11
Oman,108811000000,1.31
Kenya,108039000000,5.56
Guatemala,104450000000,3.53
Bulgaria,102408000000,1.89
Uzbekistan,101592000000,6.29
Costa Rica,86497941439,5.11
Luxembourg,85755006124,-1.1
Angola,84824654482,1.0
Croatia,84393795502,3.3
Sri Lanka,84356863744,-2.3
Panama,83318176900,7.4
Serbia,81342660752,3.85
Lithuania,79789877416,0.34
Tanzania,79062403821,5.07
Côte d'Ivoire,78875489245,6.2
Uruguay,77240830877,0.37
Ghana,76370396722,2.94
Azerbaijan,72356176471,1.12
Belarus,71857382746,3.89
Slovenia,69148468417,2.11
Myanmar,66757619000,0.96
DR Congo,66383287003,8.56
Turkmenistan,60628857143,6.3
Jordan,50967475352,2.68
Cameroon,49279410983,3.25
Uganda,48768955863,5.34
Tunisia,48529595417,0.04
Bahrain,46079867021,2.98
Macao,45803067940,75.06
Bolivia,45135398009,3.08
Libya,45096462972,10.16
Paraguay,42956263544,4.71
Cambodia,42335646896,4.96
Latvia,42247850065,1.71
Estonia,41291245222,-3.02
Nepal,40908073367,1.95
Zimbabwe,35231367886,5.34
Honduras,34400509852,3.58
El Salvador,34015620000,3.51
Cyprus,33886930712,2.61
Iceland,31325116556,5.04
Senegal,30848333084,4.58
Georgia,30777833585,7.83
Papua New Guinea,30729242919,3.04
Zambia,27577956471,5.37
Bosnia and Herzegovina,27514782476,2.21
Trinidad and Tobago,27372285698,1.35
Armenia,24085749592,8.3
Albania,23547179830,3.94
Malta,22328640242,7.5
Guinea,22199409741,6.74
Mozambique,20954220984,5.44
Mali,20661794596,4.66
Mongolia,20325121394,7.42
Burkina Faso,20324617845,2.96
Haiti,19850829758,-1.86
Benin,19676049076,6.35
Jamaica,19423355409,2.2
Botswana,19396084498,2.73
Gabon,19388402542,2.45
Nicaragua,17829218219,4.57
State of Palestine,17420800000,-5.41
Afghanistan,17233051620,2.71
Guyana,17159509565,33.8
Niger,16819170421,2.5
Moldova,16539436547,0.78
Laos,15843155731,3.75
Madagascar,15790113247,3.8
North Macedonia,15763621848,2.07
Congo,15321055823,1.91
Brunei,15128292981,1.41
Mauritius,14644524819,6.96
Bahamas,14338500000,2.64
Rwanda,14097768472,8.24
Kyrgyzstan,13987627909,6.15
Chad,13149325362,4.12
Malawi,12712150082,1.89
Namibia,12351025067,4.16
Equatorial Guinea,12337550584,-5.09
Tajikistan,12060602009,8.3
Mauritania,10651709411,6.51
Togo,9171261838,6.41
Montenegro,7530593375,6.34
Barbados,6720733200,4.09
Maldives,6590894302,4.73
Sierra Leone,6411869546,5.71
Fiji,5442046565,7.52
Eswatini,4442875788,5.01
Liberia,4240000000,4.68
Andorra,3785067332,2.58
Aruba,3648573136,4.26
Suriname,3455146281,2.54
Belize,3066850000,1.15
Burundi,2642161669,2.7
Central African Republic,2555492085,0.87
Cabo Verde,2533819406,5.48
Saint Lucia,2430148148,2.21
Gambia,2396111022,4.8
Seychelles,2141450171,3.16
Lesotho,2117962451,1.83
Timor-Leste,2079916900,-18.12
Guinea-Bissau,2048348108,5.2
Antigua and Barbuda,2033085185,3.86
Solomon Islands,1633319401,3.08
Comoros,1352380971,3.0
Grenada,1316733333,3.57
Vanuatu,1126313359,2.21
St. Vincent & Grenadines,1065962963,6.02
Saint Kitts & Nevis,1055499778,2.28
Samoa,938189444,8.58
Sao Tome & Principe,678976265,0.37
Dominica,653992593,4.71
Micronesia,460000000,0.78
Palau,281849063,1.88
Kiribati,279208903,4.12
Marshall Islands,259300000,-3.93
Tuvalu,62280312,3.85
